class,Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280/OD315_of_diluted_wines,Proline,noise1,noise2,noise3,noise4,noise5,noise6,noise7,noise8,noise9,noise10
1,0.8421,0.1917,0.57219,0.25773,0.61957,0.62759,0.57384,0.28302,0.59306,0.37201,0.45529,0.9707,0.56134,0.81472,0.64775,0.17813,0.86114,0.70692,0.55574,0.41063,0.58243,0.73427,0.6944
1,0.57105,0.20553,0.41711,0.030928,0.32609,0.57586,0.51055,0.24528,0.27445,0.2645,0.46342,0.78022,0.55064,0.90579,0.45092,0.12801,0.48485,0.99949,0.18443,0.98435,0.070684,0.43028,0.25678
1,0.56053,0.32016,0.70054,0.41237,0.33696,0.62759,0.61181,0.32076,0.7571,0.37543,0.44715,0.69597,0.64693,0.12699,0.54701,0.99908,0.39346,0.28785,0.21203,0.94558,0.92274,0.69375,0.0097586
1,0.87895,0.23913,0.60963,0.31959,0.46739,0.98965,0.66456,0.20755,0.55836,0.55631,0.30894,0.79853,0.85735,0.91338,0.29632,0.17112,0.67143,0.41452,0.077347,0.67664,0.80037,0.94521,0.53228
1,0.58158,0.36561,0.80749,0.53608,0.52174,0.62759,0.49578,0.49057,0.4448,0.25939,0.45529,0.60806,0.32596,0.63236,0.74469,0.032601,0.74126,0.46484,0.9138,0.9883,0.28595,0.78423,0.27939
1,0.83421,0.20158,0.58289,0.23711,0.45652,0.78966,0.64346,0.39623,0.49211,0.46672,0.46342,0.57876,0.83595,0.09754,0.18896,0.5612,0.52005,0.76396,0.70672,0.76683,0.54366,0.70557,0.94623
1,0.88421,0.22332,0.58289,0.20619,0.28261,0.52414,0.45992,0.32076,0.49527,0.33874,0.43902,0.84615,0.72183,0.2785,0.68678,0.88187,0.34771,0.8182,0.55779,0.3367,0.98478,0.10933,0.90644
1,0.79737,0.27866,0.66845,0.36083,0.55435,0.55862,0.45781,0.33962,0.26498,0.32167,0.47154,0.84615,0.72539,0.54688,0.18351,0.66918,0.15,0.10022,0.31343,0.66238,0.71568,0.38993,0.39268
1,1,0.17787,0.43316,0.17526,0.29348,0.62759,0.55696,0.30189,0.49527,0.33447,0.4878,0.57876,0.54708,0.95751,0.36848,0.19043,0.58609,0.17812,0.1662,0.24417,0.83897,0.5909,0.024855
1,0.74474,0.12055,0.48663,0.27835,0.30435,0.68966,0.59283,0.16981,0.45426,0.50683,0.43089,0.83517,0.54708,0.96489,0.62562,0.36892,0.26215,0.35963,0.6225,0.29551,0.43326,0.45938,0.67144
1,0.8079,0.28063,0.50267,0.38144,0.38044,0.67931,0.62869,0.16981,0.62145,0.3814,0.62602,0.69597,0.87875,0.15761,0.78023,0.46073,0.044454,0.056705,0.98793,0.68018,0.47062,0.05034,0.83717
1,0.81316,0.14625,0.51337,0.31959,0.27174,0.42069,0.44093,0.24528,0.36593,0.31741,0.56098,0.56777,0.71469,0.97059,0.081126,0.98164,0.75493,0.52189,0.17043,0.52785,0.56071,0.22869,0.9715
1,0.71579,0.19565,0.5615,0.27835,0.20652,0.55862,0.51055,0.30189,0.44164,0.3686,0.54471,0.59707,0.74322,0.95717,0.92939,0.1564,0.24279,0.33585,0.25779,0.41159,0.26909,0.83419,0.056933
1,0.97895,0.19565,0.5508,0.041237,0.22826,0.73103,0.70675,0.56604,0.7571,0.35154,0.62602,0.5348,0.62197,0.48538,0.77571,0.85552,0.4424,0.17567,0.3968,0.60264,0.74902,0.015645,0.45032
1,0.88158,0.22332,0.54546,0.072165,0.34783,0.8,0.6962,0.30189,0.80442,0.53072,0.58537,0.6337,0.90514,0.80028,0.48679,0.64476,0.6878,0.20895,0.073995,0.75052,0.50389,0.86371,0.58247
1,0.68421,0.21146,0.71658,0.34021,0.45652,0.64483,0.54219,0.32076,0.33123,0.51365,0.65041,0.58974,0.73609,0.14189,0.43586,0.37627,0.35923,0.90515,0.6841,0.58353,0.64681,0.078069,0.68664
1,0.86053,0.2332,0.72727,0.48454,0.54348,0.62759,0.59072,0.37736,0.49211,0.41979,0.47968,0.5055,0.71469,0.42176,0.44678,0.19092,0.73634,0.67539,0.40239,0.55179,0.30775,0.66904,0.71943
1,0.73684,0.16403,0.6738,0.48454,0.48913,0.67931,0.64557,0.50943,0.41325,0.45393,0.52846,0.47619,0.6077,0.91574,0.30635,0.42825,0.39471,0.46847,0.98284,0.58357,0.13872,0.50021,0.65004
1,0.83158,0.16798,0.59893,0.30412,0.41304,0.8,0.75738,0.35849,0.45741,0.63311,0.60976,0.56777,1,0.79221,0.50851,0.48202,0.68342,0.91213,0.40218,0.51182,0.47557,0.21799,0.72691
1,0.68684,0.4664,0.64171,0.23711,0.5,0.5931,0.56751,0.075472,0.39432,0.32594,0.39024,0.76557,0.40442,0.95949,0.51077,0.12061,0.70405,0.10401,0.62067,0.082593,0.36246,0.57162,0.37385
1,0.79737,0.17589,0.49198,0.27835,0.6087,0.69655,0.59705,0.20755,0.53312,0.37287,0.49594,0.89377,0.35806,0.65574,0.81763,0.58951,0.44231,0.74555,0.15437,0.71957,0.78811,0.12219,0.58158
1,0.5,0.60474,0.68984,0.41237,0.34783,0.4931,0.43671,0.22642,0.49527,0.27474,0.44715,0.82418,0.35093,0.035712,0.79483,0.22619,0.019578,0.73627,0.38135,0.99616,0.7803,0.67117,0.11612
1,0.70526,0.22134,0.53476,0.30928,0.33696,0.56207,0.53587,0.26415,0.40379,0.21502,0.51219,1,0.53994,0.84913,0.64432,0.38462,0.33086,0.56186,0.16113,0.35453,0.66851,0.59959,0.057654
1,0.47895,0.16996,0.62032,0.37113,0.27174,0.51724,0.42827,0.24528,0.33123,0.22611,0.49594,0.86447,0.52568,0.93399,0.37861,0.58299,0.42431,0.18419,0.75811,0.97126,0.1335,0.055976,0.97977
1,0.65,0.21146,0.66845,0.48454,0.28261,0.53448,0.4789,0.28302,0.39432,0.19113,0.52033,0.93407,0.40442,0.67874,0.81158,0.25181,0.27027,0.59721,0.87111,0.34645,0.021556,0.056343,0.28482
1,0.53158,0.25889,0.99465,0.74227,0.58696,0.56897,0.49367,0.64151,0.47634,0.19625,0.52846,0.70696,0.39372,0.75774,0.53283,0.29044,0.19705,0.29994,0.35078,0.88654,0.55984,0.1525,0.59497
1,0.62105,0.20356,0.6738,0.28351,0.25,0.64483,0.54852,0.39623,0.32808,0.30034,0.35772,0.71429,0.65407,0.74313,0.35073,0.61709,0.82172,0.13412,0.68554,0.45469,0.30082,0.019621,0.96216
1,0.59737,0.19368,0.41711,0.3299,0.26087,0.48966,0.3903,0.26415,0.29653,0.22782,0.43902,0.54945,0.71826,0.39223,0.939,0.26528,0.42992,0.2126,0.29415,0.41343,0.93941,0.43518,0.18578
1,0.74737,0.22925,0.77005,0.45361,0.40217,0.67931,0.55485,0.45283,0.42587,0.27474,0.62602,0.78022,0.45435,0.65548,0.87594,0.82438,0.88777,0.89494,0.53063,0.21773,0.9809,0.83222,0.19304
1,0.78684,0.18577,0.45454,0.27835,0.28261,0.57586,0.41983,0.24528,0.49527,0.29181,0.45529,0.84982,0.53994,0.17119,0.55016,0.98266,0.39118,0.071453,0.83242,0.12565,0.28662,0.61739,0.34164
1,0.71053,0.1502,0.71658,0.6134,0.33696,0.69655,0.61392,0.30189,0.62145,0.37713,0.57724,0.52747,0.71826,0.70605,0.62248,0.73025,0.76911,0.24249,0.59749,0.30891,0.80082,0.52013,0.9329
1,0.67105,0.18182,0.53476,0.43814,0.3913,0.64828,0.60127,0.16981,0.4858,0.47952,0.49594,0.58974,0.88231,0.031833,0.58704,0.34388,0.39679,0.053754,0.33531,0.7261,0.89611,0.86387,0.39067
1,0.69737,0.21542,0.53476,0.34021,0.36956,0.49655,0.49578,0.54717,0.49211,0.21843,0.60976,0.58608,0.50785,0.27692,0.20774,0.58407,0.80851,0.44172,0.29923,0.78287,0.59753,0.097698,0.27322
1,0.71842,0.15613,0.71658,0.45876,0.67391,0.67931,0.50633,0.69811,0.29653,0.35154,0.62602,0.6337,0.6826,0.046171,0.30125,0.10777,0.75508,0.013283,0.45259,0.69379,0.88402,0.90805,0.15195
1,0.65263,0.20949,0.68984,0.43299,0.43478,0.47241,0.46203,0.30189,0.35647,0.24915,0.50406,0.58608,0.58274,0.097132,0.47092,0.90631,0.3774,0.89719,0.42265,0.0098023,0.94373,0.10802,0.39711
1,0.64474,0.21146,0.5615,0.51031,0.32609,0.5931,0.55696,0.24528,0.45741,0.32594,0.45529,0.80586,0.45792,0.82346,0.23049,0.87965,0.21602,0.19666,0.35961,0.84321,0.54916,0.517,0.37472
1,0.5921,0.17787,0.79144,0.25258,0.43478,0.55862,0.49367,0.39623,0.29968,0.28328,0.49594,0.55311,0.42939,0.69483,0.84431,0.81776,0.79041,0.093371,0.55832,0.92233,0.72839,0.14316,0.13111
1,0.53158,0.17984,0.63636,0.38144,0.30435,0.5069,0.44093,0.30189,0.32492,0.25341,0.52033,0.45421,0.58987,0.3171,0.19476,0.26073,0.9493,0.30737,0.74255,0.77095,0.57676,0.55937,0.43504
1,0.53684,0.1502,0.39572,0.25258,0.30435,0.48966,0.48523,0.28302,0.30284,0.20649,0.56911,0.52015,0.52924,0.95022,0.22592,0.59436,0.32757,0.45606,0.42433,0.04266,0.025857,0.0045796,0.091513
1,0.83947,0.64229,0.61497,0.13402,0.63043,0.69655,0.56962,0.13208,0.52681,0.32594,0.33333,0.82784,0.3438,0.034446,0.17071,0.022513,0.67126,0.10167,0.42936,0.37819,0.44653,0.76668,0.61463
1,0.66579,0.1917,0.50802,0.28866,0.51087,0.74828,0.62236,0.39623,0.60883,0.41382,0.38211,0.77289,0.36876,0.43874,0.22766,0.42526,0.43864,0.99539,0.12487,0.70434,0.6463,0.84871,0.010979
1,0.62632,0.61265,0.40642,0.42268,0.21739,0.5069,0.49367,0.26415,0.33754,0.25597,0.34959,0.6337,0.53994,0.38156,0.4357,0.31272,0.8335,0.33209,0.024434,0.72951,0.5212,0.91682,0.57326
1,0.75,0.22727,0.65775,0.2268,0.33696,0.78276,0.67932,0.075472,0.40694,0.3541,0.3252,0.83883,0.58274,0.76552,0.3111,0.16148,0.76885,0.29735,0.29019,0.22428,0.37231,0.98697,0.78973
1,0.58158,0.64032,0.49733,0.35567,0.3587,0.57241,0.48312,0.35849,0.39432,0.2628,0.27642,0.6337,0.28673,0.7952,0.92338,0.17877,0.16725,0.062045,0.31752,0.26905,0.93713,0.50513,0.23537
1,0.53158,0.20356,0.39572,0.3299,0.40217,0.69655,0.56118,0.28302,0.51104,0.32082,0.3252,0.76191,0.43295,0.18687,0.43021,0.42289,0.86198,0.29824,0.65369,0.67303,0.82953,0.27142,0.44802
1,0.83684,0.65217,0.57754,0.42784,0.44565,0.64483,0.48734,0.32076,0.26498,0.33788,0.31707,0.75458,0.57204,0.48976,0.18482,0.094229,0.98987,0.046351,0.95694,0.47749,0.84909,0.10075,0.56936
1,0.88158,0.56324,0.49198,0.27835,0.34783,0.78276,0.59705,0.26415,0.56151,0.30887,0.45529,0.79487,0.56134,0.44559,0.90488,0.59852,0.51442,0.50543,0.93573,0.62372,0.37253,0.50785,0.061401
1,0.75526,0.18577,0.40642,0.27835,0.33696,0.73103,0.64346,0.15094,0.54574,0.41126,0.34959,0.75458,0.50428,0.64631,0.97975,0.47092,0.88428,0.76143,0.45789,0.23644,0.59318,0.58561,0.49629
1,0.8079,0.25296,0.55615,0.42268,0.3587,0.61035,0.5443,0.35849,0.62145,0.41979,0.47968,0.54212,0.55778,0.70936,0.43887,0.69595,0.58803,0.63107,0.24048,0.17712,0.87255,0.76289,0.64232
1,0.76579,0.19565,0.48663,0.35052,0.41304,0.65517,0.6751,0.35849,0.52681,0.65017,0.52033,0.67033,0.70043,0.75469,0.11112,0.69989,0.15475,0.089892,0.7639,0.82964,0.9335,0.082963,0.22127
1,0.53158,0.19565,0.36364,0.092784,0.23913,0.6,0.61814,0.075472,0.78864,0.50512,0.52033,0.60073,0.62197,0.27603,0.25806,0.63853,0.19986,0.080862,0.75933,0.76692,0.66846,0.6616,0.83706
1,0.73684,0.17984,0.6631,0.34021,0.26087,0.5069,0.55907,0.16981,0.59306,0.3686,0.61789,0.76923,0.70399,0.6797,0.40872,0.033604,0.40695,0.77724,0.74065,0.93448,0.20678,0.51698,0.97108
1,0.73421,0.19961,0.56685,0.17526,0.44565,1,0.7173,0.35849,0.46057,0.49232,0.43089,0.72894,0.6505,0.6551,0.5949,0.068806,0.74871,0.90513,0.74369,0.10789,0.65385,0.17105,0.84637
1,0.72105,0.22925,0.70588,0.33505,0.48913,0.69655,0.51688,0.49057,0.40063,0.42833,0.52846,0.60806,0.78245,0.16261,0.26221,0.3196,0.82558,0.53377,0.10592,0.18223,0.072052,0.93856,0.506
1,0.71316,0.18379,0.47594,0.29897,0.52174,0.55862,0.54008,0.15094,0.3817,0.38993,0.35772,0.70696,0.55778,0.119,0.60284,0.53086,0.78996,0.10915,0.68156,0.099095,0.40673,0.59048,0.27888
1,0.66579,0.19565,0.58823,0.51031,0.5,0.68276,0.51477,0.13208,0.64353,0.42406,0.4065,0.64469,0.60057,0.49836,0.71122,0.65445,0.31852,0.82581,0.46326,0.48976,0.66693,0.44063,0.74662
1,0.83947,0.18972,0.50267,0.29381,0.52174,0.76552,0.56118,0.24528,0.51104,0.43515,0.37398,0.74725,0.49358,0.95974,0.22175,0.40762,0.53406,0.3381,0.21216,0.19325,0.93373,0.94192,0.23693
1,0.59474,0.24308,0.70588,0.31959,0.34783,0.69655,0.60971,0.33962,0.39432,0.40273,0.47968,0.57509,0.70756,0.34039,0.11742,0.81998,0.089951,0.29397,0.098519,0.89589,0.81095,0.65591,0.95735
1,0.7079,0.13636,0.60963,0.31443,0.41304,0.83448,0.70253,0.11321,0.5142,0.47099,0.33333,0.58608,0.71826,0.58527,0.29668,0.71836,0.11171,0.74631,0.82357,0.09909,0.48455,0.45195,0.62026
2,0.35263,0.039526,0,0,0.19565,0.34483,0.048523,0.28302,0.003155,0.057167,0.46342,0.20147,0.17261,0.22381,0.31878,0.96865,0.13629,0.010337,0.17501,0.044166,0.75675,0.8397,0.60026
2,0.3421,0.071146,0.49198,0.27835,0.33696,0.36897,0.15823,0.9434,0,0.1698,0.62602,0.14652,0.28673,0.75127,0.42417,0.53133,0.67865,0.048447,0.16357,0.5573,0.41705,0.53262,0.1726
2,0.42368,0.12253,0.35294,0.31959,0.32609,0.35862,0.22574,0.75472,0.066246,0.3814,0.4065,0.11722,0.12268,0.2551,0.50786,0.32515,0.49518,0.66792,0.66599,0.7725,0.97179,0.55389,0.090347
2,0.69474,0.10079,0.29946,0.38144,0.26087,0.38621,0.30591,0.35849,0.10095,0.21502,0.60976,0.4359,0.25107,0.50596,0.085516,0.10563,0.18971,0.60347,0.89439,0.31194,0.98797,0.68007,0.25526
2,0.35263,0.077075,0.42781,0.43299,0.18478,0.86897,0.58228,0.11321,0.46057,0.27048,0.60163,0.58608,0.10128,0.69908,0.26248,0.61096,0.49501,0.5261,0.51656,0.17898,0.86415,0.36719,0.85857
2,0.3,0.14032,0.62567,0.43299,0.36956,0.31379,0.29747,0.60377,0.19558,0.14249,0.78862,0.35165,0.054922,0.8909,0.80101,0.7788,0.14761,0.72971,0.7027,0.33896,0.38888,0.23929,0.91107
2,0.35263,0.092885,0.64171,0.3866,0.30435,0.49655,0.48734,0.45283,0.52681,0.28328,0.57724,0.37729,0.28531,0.95929,0.02922,0.42345,0.054974,0.70725,0.15359,0.21015,0.45474,0.57892,0.69963
2,0.54737,0.05336,0.18182,0.2268,0.086957,0.68966,0.59916,0.24528,0.58991,0.343,0.52033,0.69963,0.15977,0.54722,0.92885,0.090823,0.85071,0.78138,0.95346,0.51015,0.24669,0.86689,0.72518
2,0.35263,0.08498,0.29946,0.46392,0.086957,0.38965,0.35021,0.26415,0.19874,0.2901,0.52033,0.80952,0.16548,0.13862,0.73033,0.26647,0.56056,0.28798,0.54088,0.90636,0.78442,0.40678,0.22989
2,0.60789,0.039526,0.53476,0.3299,0.43478,0.53448,0.20253,0.79245,0.003155,0.16126,0.43902,0.24176,0.33666,0.14929,0.48861,0.15366,0.92961,0.69253,0.67973,0.62892,0.88284,0.11262,0.57605
2,0.31053,0.088933,0.20856,0.31959,0.88043,0.3,0.19831,0.018868,0.65931,0.13396,0.65041,0.65934,0.31384,0.25751,0.57853,0.28101,0.69667,0.55667,0.036563,0.10153,0.91371,0.44385,0.81063
2,0.33158,0.17194,0.45454,0.50516,0.3587,0.041379,0.14346,0.45283,0.33123,0.15102,0.34634,0.20147,0.42225,0.84072,0.23728,0.44009,0.58279,0.39652,0.8092,0.39085,0.55828,0.30018,0.40384
2,0.74474,0.15217,0.70054,0.74227,0.17391,0.67931,0.53165,0.15094,0.46057,0.17918,0.71545,0.69231,0.094151,0.25428,0.45885,0.52714,0.8154,0.061591,0.74862,0.054617,0.59887,0.40139,0.98844
2,0.64737,0.18182,0.47059,0.69072,0.18478,0.31034,0.31646,0.26415,0.19558,0.2099,0.4065,0.55311,0.13837,0.81428,0.96309,0.45742,0.87901,0.78018,0.12019,0.50128,0.14888,0.83336,0.089999
2,0.51579,0.18379,0.6631,1,0.75,0.8,0.53797,0.15094,0.48896,0.17662,0.6748,0.81685,0.50428,0.24352,0.54681,0.87537,0.98891,0.33758,0.52505,0.43172,0.89971,0.40363,0.32094
2,0.24474,0.06917,0.50267,0.53608,0.33696,0.82759,0.37975,0,0.39117,0.16468,0.41463,0.68132,0.43367,0.92926,0.52114,0.51805,0.00052238,0.60787,0.32583,0.99756,0.45039,0.39018,0.51141
2,0.16579,0.2253,0.29946,0.27835,0.29348,0.21724,0.25949,0.39623,0.23344,0.21502,0.60976,0.31868,0.10699,0.34998,0.23159,0.94362,0.86544,0.74125,0.54645,0.8116,0.20567,0.36045,0.060606
2,0.52632,0.031621,0.18717,0.27835,0.17391,0.33448,0.35654,0.20755,0.33123,0.28328,0.57724,0.44322,0.081312,0.1966,0.4889,0.63771,0.61257,0.10481,0.39888,0.48565,0.89965,0.14026,0.72569
2,0.21316,0.4249,0.46524,0.38144,0.45652,0.25517,0.20675,0.56604,0.17035,0.11689,0.39024,0.45787,0.15835,0.25108,0.62406,0.95769,0.98995,0.12789,0.41509,0.89445,0.76259,0.26013,0.55656
2,0.3421,0.049407,0.31551,0.21649,0.71739,0.31724,0.31856,0.41509,0.74133,0.18089,0.47154,0.38095,0.33666,0.61604,0.67914,0.24071,0.52768,0.54954,0.18074,0.13755,0.88249,0.086815,0.52936
2,0.43947,0.61858,0.55615,0.63918,0.33696,0.63793,0.46625,0.56604,0.4858,0.11007,0.57724,0.68132,0.13195,0.47329,0.39552,0.67612,0.47952,0.48523,0.25539,0.39,0.28495,0.4294,0.82998
2,0.25526,0.035573,0.34225,0.43299,0.17391,0.49655,0.40506,0.32076,0.32177,0.1041,0.73171,0.67766,0,0.35166,0.36744,0.28906,0.80135,0.89048,0.020536,0.92736,0.67323,0.25728,0.85876
2,0.44474,0.21146,0.4492,0.42268,0.17391,0.42069,0.46203,0.24528,0.42902,0.22355,0.55285,0.68498,0.31098,0.83083,0.98798,0.67181,0.22784,0.79896,0.92368,0.91749,0.66428,0.29756,0.78903
2,0.27632,0.077075,0.61497,0.69072,0.086957,0.35172,0.2616,0.50943,0.3123,0.078498,0.6748,0.53114,0.25107,0.58526,0.037739,0.69514,0.49809,0.73434,0.6537,0.71357,0.12281,0.42486,0.31783
2,0.53158,0.6166,0.51337,0.6134,0.16304,0.23103,0.26371,0.90566,0.3817,0.30034,0.29268,0.27106,0.16904,0.54972,0.88517,0.067993,0.90085,0.051332,0.93261,0.61834,0.40732,0.11921,0.45221
2,0.21316,0.029644,0.65241,0.38144,0.26087,0.42069,0.39452,0.16981,0.61199,0.15102,0.25203,0.663,0.17261,0.91719,0.91329,0.25479,0.57466,0.072885,0.16351,0.34329,0.27529,0.49507,0.75223
2,0.43158,0.047431,0.47059,0.38144,0.31522,0.42069,0.33755,0.32076,0.33123,0.11433,0.60976,0.69231,0.12268,0.28584,0.79618,0.22404,0.84518,0.088527,0.9211,0.93603,0.71667,0.70641,0.10986
2,0.29737,0.17194,0.50802,0.62887,0.21739,0.27586,0.28481,0.56604,0.36278,0.099829,0.69106,0.36264,0.15478,0.7572,0.098712,0.66783,0.73864,0.79835,0.79466,0.12477,0.28338,0.24357,0.10974
2,0.16316,0.18379,0.6738,0.79381,0.19565,0.32414,0.26793,0.50943,0.29338,0.11263,0.71545,0.71062,0.20257,0.75373,0.26187,0.84439,0.58599,0.94301,0.57739,0.73059,0.8962,0.78507,0.26988
